trial,blueprint,switch,template_build_ms,volume_sync_ms,attacker_observable_ms,error,ts
1,ssh,expose_fake_backup,3.93,-1.0,,,2026-06-01T19:30:58.436811+00:00
2,ssh,expose_fake_backup,3.77,-1.0,,,2026-06-01T19:31:06.392753+00:00
3,ssh,expose_fake_backup,3.72,-1.0,,,2026-06-01T19:31:14.109145+00:00
4,ssh,expose_fake_backup,4.01,-1.0,,,2026-06-01T19:31:21.918944+00:00
5,ssh,expose_fake_backup,3.75,-1.0,,,2026-06-01T19:31:29.683735+00:00
6,ssh,expose_fake_backup,3.91,-1.0,,,2026-06-01T19:31:37.419280+00:00
7,ssh,expose_fake_backup,4.0,-1.0,,,2026-06-01T19:31:45.220040+00:00
8,ssh,expose_fake_backup,3.82,-1.0,,,2026-06-01T19:31:53.055404+00:00
9,ssh,expose_fake_backup,4.02,-1.0,,,2026-06-01T19:32:00.990022+00:00
10,ssh,expose_fake_backup,3.84,-1.0,,,2026-06-01T19:32:08.871003+00:00
11,ssh,expose_fake_backup,3.67,-1.0,,,2026-06-01T19:32:16.623525+00:00
12,ssh,expose_fake_backup,3.7,-1.0,,,2026-06-01T19:32:24.455700+00:00
13,ssh,expose_fake_backup,3.68,-1.0,,,2026-06-01T19:32:32.349037+00:00
14,ssh,expose_fake_backup,3.72,-1.0,,,2026-06-01T19:32:40.113948+00:00
15,ssh,expose_fake_backup,3.71,-1.0,,,2026-06-01T19:32:48.009440+00:00
1,web,expose_fake_config,2.33,47.44,4.82,,2026-06-01T19:32:55.803037+00:00
2,web,expose_fake_config,2.66,79.13,4.79,,2026-06-01T19:32:58.665286+00:00
3,web,expose_fake_config,2.09,67.24,3.94,,2026-06-01T19:33:01.459351+00:00
4,web,expose_fake_config,2.19,70.1,4.42,,2026-06-01T19:33:04.266478+00:00
5,web,expose_fake_config,2.13,75.0,3.73,,2026-06-01T19:33:07.063083+00:00
6,web,expose_fake_config,2.14,67.22,4.2,,2026-06-01T19:33:09.828964+00:00
7,web,expose_fake_config,2.27,66.99,6.02,,2026-06-01T19:33:12.661376+00:00
8,web,expose_fake_config,2.14,77.64,23.97,,2026-06-01T19:33:15.483717+00:00
9,web,expose_fake_config,2.21,74.54,4.06,,2026-06-01T19:33:18.347732+00:00
10,web,expose_fake_config,2.07,62.32,10.73,,2026-06-01T19:33:21.236035+00:00
11,web,expose_fake_config,2.07,68.63,4.23,,2026-06-01T19:33:24.156809+00:00
12,web,expose_fake_config,2.11,60.67,5.55,,2026-06-01T19:33:26.986049+00:00
13,web,expose_fake_config,2.24,58.98,10.36,,2026-06-01T19:33:29.788190+00:00
14,web,expose_fake_config,2.19,61.24,10.85,,2026-06-01T19:33:32.665775+00:00
15,web,expose_fake_config,2.11,65.04,4.77,,2026-06-01T19:33:35.568352+00:00
